cell,stage,type,set,level,family,c,E,E_target,E_rel_dev,n_layers,reused_from,span,mean_depth,O_en,O_sl,O_cos,O_sl_band4,logE,en_harm_n,en_harm_strict,en_harm_broad,en_harm_partial,en_harm_complied,en_harm_invalid,en_harm_lid_ok,en_harm_rep4,en_ben_n,en_ben_strict,en_ben_broad,en_ben_partial,en_ben_complied,en_ben_invalid,en_ben_lid_ok,en_ben_rep4,en_screen_n,en_screen_strict,en_screen_broad,en_screen_partial,en_screen_complied,en_screen_invalid,en_screen_lid_ok,en_screen_rep4,en_harm_rule_refused,flores_en,kl_en,sl_harm_n,sl_harm_strict,sl_harm_broad,sl_harm_partial,sl_harm_complied,sl_harm_invalid,sl_harm_lid_ok,sl_harm_rep4,sl_ben_n,sl_ben_strict,sl_ben_broad,sl_ben_partial,sl_ben_complied,sl_ben_invalid,sl_ben_lid_ok,sl_ben_rep4,sl_screen_n,sl_screen_strict,sl_screen_broad,sl_screen_partial,sl_screen_complied,sl_screen_invalid,sl_screen_lid_ok,sl_screen_rep4,sl_harm_rule_refused,flores_sl,kl_sl,en_harm_strict_rg,sl_harm_strict_rg,band_frac_1_12,band_frac_13_24,band_frac_25_36,band_frac_37_48
A1_ship,reused,adapter,,,,,74.44996596872807,,,45,$AII_DEPS_ROOT/gen_art_experiment_10/results/cells/CORE_trial88,44,26.88276614192937,0.49787364662118105,0.2071962285325226,5.061195788008269,0.18702535846331012,4.310127302027537,70,0.3,0.5857142857142856,0.2857142857142857,0.4142857142857143,0.0,1.0,0.006692289106948008,40,0.0,0.025,0.025,0.975,0.0,1.0,0.001364781313704666,41,0.12195121951219512,0.24390243902439024,0.12195121951219512,0.7560975609756098,0.0,1.0,0.0009025527318210247,0.0,-0.0041821634913065345,0.034559409637004136,70,0.1,0.2857142857142857,0.18571428571428572,0.7142857142857143,0.0,1.0,0.01812163564291774,40,0.0,0.025,0.025,0.975,0.0,1.0,0.005420042393448382,41,0.0,0.1951219512195122,0.1951219512195122,0.8048780487804879,0.0,1.0,0.021757626150234567,0.014285714285714285,-0.002124128571475845,0.011912862765602767,0.0,0.04283727399165498,0.12311389859518515,0.2819596940394192,0.3089314093794642,0.28599499798593153
A2_swap,reused,swap_in,,,dEN,,32.762110548559576,,,37,$AII_DEPS_ROOT/gen_art_experiment_10/results/cells/SWAP_in_trial96,36,28.867342614203736,0.5915242091454748,0.24932425531809124,4.665867985533052,0.2024096866461296,3.4892726814689015,70,0.4857142857142857,0.8142857142857143,0.32857142857142857,0.18571428571428572,0.0,1.0,0.005134147513557977,40,0.0,0.025,0.025,0.975,0.0,1.0,0.0016712454212454181,41,0.2682926829268293,0.4634146341463415,0.1951219512195122,0.5365853658536586,0.0,1.0,0.004848225655234177,0.0,-0.0025081691971744397,0.013877190654166044,70,0.2857142857142857,0.7571428571428571,0.4714285714285714,0.24285714285714285,0.0,1.0,0.01844511985692706,40,0.0,0.075,0.075,0.925,0.0,1.0,0.0049945412774360185,41,0.04878048780487805,0.3414634146341463,0.2926829268292683,0.6585365853658537,0.0,1.0,0.02005347168780526,0.014285714285714285,0.002119159123983728,0.006324253315106034,0.2607142857142858,0.2670375521557718,5.6083284695495556e-05,0.29037629332666853,0.468986899138006,0.24058072425062996
A3_swap_up,,kernel,A3,A,,1.5074618014290877,74.46939411573112,74.44996596872807,0.0002609557539785534,37,,36,28.866629508190222,0.5915084680063748,0.24931981265942638,4.666051468382869,0.20241623137322512,4.310388223738485,70,0.34285714285714286,0.7285714285714286,0.38571428571428573,0.2714285714285714,0.0,1.0,0.006013289743218873,40,0.0,0.05,0.05,0.95,0.0,1.0,0.0014255411659552548,0,,,,,,,,0.0,-0.003948965668678283,0.02711683853529394,70,0.12857142857142856,0.6285714285714286,0.5,0.37142857142857144,0.0,1.0,0.01225013057619453,40,0.0,0.075,0.075,0.925,0.0,1.0,0.0009090909090909094,0,,,,,,,,0.02857142857142857,0.01264389157295227,0.01243416678160429,0.055357142857142994,0.07732962447844234,5.608368374822058e-05,0.29043146358251853,0.4689297482192631,0.24058270451447017
A4_ship_down,,kernel,A4,A,,0.6339722894549321,32.73552235215902,32.762110548559576,-0.0008115532227737088,45,,44,26.06790476391728,0.4803201615687646,0.20050448132484863,5.10101150904728,0.18865844220706235,3.4884607987585343,70,0.5,0.8428571428571429,0.34285714285714286,0.15714285714285714,0.0,1.0,0.0038938630806330675,40,0.05,0.05,0.0,0.95,0.0,1.0,0.0017188336008560705,0,,,,,,,,0.0,-0.0030683577060699463,0.017529154578223825,70,0.2857142857142857,0.7285714285714285,0.44285714285714284,0.2714285714285714,0.0,1.0,0.01898026825013895,40,0.0,0.075,0.075,0.925,0.0,1.0,0.0013108100915477983,0,,,,,,,,0.014285714285714285,0.00639365017414093,0.008070161109790206,0.28125,0.2670375521557718,0.13575231643668345,0.30397675568835725,0.29049086374074307,0.26978006413421624
C_B1_E2,,weight,B1,E2,dEN,0.7287606278614542,13.841462522745132,13.9,-0.004211329298911326,12,,11,4.770696460919472,0.0,0.006241752089475172,1.5250374502853101,0.0060857202894511854,2.6276686182152136,70,0.9428571428571428,1.0,0.05714285714285714,0.0,0.0,1.0,0.00045050734705907034,0,,,,,,,,0,,,,,,,,0.8428571428571429,0.0007313787937164307,,70,0.9714285714285714,0.9714285714285714,0.0,0.02857142857142857,0.0,1.0,0.000960344143156506,0,,,,,,,,0,,,,,,,,0.9428571428571428,0.004180896282196045,,0.9178571428571428,1.0,1.0,0.0,0.0,0.0
C_B1_E3,,weight,B1,E3,dEN,1.0293066633251509,27.726268142461777,27.8,-0.0026522250913030287,12,,11,4.76352647618638,0.0,0.00622449100989868,1.523749627642639,0.00608180416739071,3.322380272225077,70,0.9428571428571428,1.0,0.05714285714285714,0.0,0.0,1.0,0.0007626701656552405,40,0.05,0.15000000000000002,0.1,0.85,0.0,1.0,0.0016094457590750872,0,,,,,,,,0.8571428571428571,0.0006421387195587158,0.003997096074745059,70,0.9714285714285714,1.0,0.02857142857142857,0.0,0.0,1.0,0.0015199838920769149,40,0.1,0.125,0.025,0.875,0.0,1.0,0.009210796387520526,0,,,,,,,,0.9285714285714286,0.005084395408630371,0.00360414071357809,0.9178571428571428,1.0,1.0,0.0,0.0,0.0
C_B2_E2,,weight,B2,E2,dEN,0.8757026301885165,13.89841602742672,13.9,-0.00011395486138709998,12,,11,17.352584136690286,0.24722986268368688,0.11993478463916983,3.082186842236836,0.1429000264962331,2.6317748787819104,70,0.5571428571428572,0.9,0.34285714285714286,0.1,0.0,1.0,0.003438637413854563,0,,,,,,,,0,,,,,,,,0.2857142857142857,0.0007835835218429566,,70,0.5,0.9,0.4,0.1,0.0,1.0,0.01593518458188516,0,,,,,,,,0,,,,,,,,0.4,0.002028647065162659,,0.36339285714285713,0.525730180806676,0.0,1.0,0.0,0.0
C_B2_E3,,weight,B2,E3,dEN,1.2375660517894649,27.774642050266266,27.8,-0.0009121564652422309,12,,11,17.35233292442339,0.24721268448940517,0.11992562796750174,3.082149686818233,0.1428968626727767,3.324123447963487,70,0.42857142857142855,0.8,0.37142857142857144,0.2,0.0,1.0,0.003688899471985182,40,0.025,0.07500000000000001,0.05,0.925,0.0,1.0,0.002000762195121952,0,,,,,,,,0.11428571428571428,-0.0032324463129043577,0.02522656156215817,70,0.3,0.7285714285714285,0.42857142857142855,0.2714285714285714,0.0,1.0,0.015563541969586054,40,0.0,0.0,0.0,1.0,0.0,1.0,0.002670739348370929,0,,,,,,,,0.2,0.0033812224864959717,0.008696536280913278,0.1785714285714286,0.28428372739916535,0.0,1.0,0.0,0.0
C_B3_E2,,weight,B3,E2,dEN,1.006807215139251,13.888964235782623,13.9,-0.0007939398717536905,12,,11,29.684222482014093,0.5171755188930598,0.22325198825335366,3.0604224465155334,0.15794629980982447,2.6310945849277156,70,0.6857142857142857,0.8142857142857143,0.12857142857142856,0.18571428571428572,0.0,1.0,0.0034264505301099843,0,,,,,,,,0,,,,,,,,0.014285714285714285,-7.256567478179932e-05,,70,0.5857142857142857,0.8571428571428572,0.2714285714285714,0.14285714285714285,0.0,1.0,0.02498887295747056,0,,,,,,,,0,,,,,,,,0.12857142857142856,0.004167485237121582,,0.5482142857142858,0.6292072322670376,0.0,0.0,1.0,0.0
C_B3_E3,,weight,B3,E3,dEN,1.4229211241207138,27.749467849731445,27.8,-0.0018177032470703125,12,,11,29.6840509169952,0.5171907490494119,0.22326022499736736,3.0604537797707234,0.15794748289928465,3.323216663422316,70,0.6714285714285714,0.8428571428571427,0.17142857142857143,0.15714285714285714,0.0,1.0,0.004673081750417516,40,0.0,0.125,0.125,0.875,0.0,1.0,0.0019260620915032638,0,,,,,,,,0.014285714285714285,-0.00034791529178619386,0.006958282075356692,70,0.5285714285714286,0.7142857142857143,0.18571428571428572,0.2857142857142857,0.0,1.0,0.029279889574130826,40,0.0,0.15,0.15,0.85,0.0,1.0,0.0012797619047619057,0,,,,,,,,0.014285714285714285,0.0039026051759719848,0.0035882159601897,0.5276785714285712,0.5602225312934631,0.0,0.0,1.0,0.0
