number,state,datetime_start,datetime_complete,duration_s,refusals,kl,p.direction_scope,p.direction_index,p.attn.o_proj.max_weight,p.attn.o_proj.max_weight_position,p.attn.o_proj.min_weight,p.attn.o_proj.min_weight_distance,p.mlp.down_proj.max_weight,p.mlp.down_proj.max_weight_position,p.mlp.down_proj.min_weight,p.mlp.down_proj.min_weight_distance,direction_index_eff,abl_params
98,COMPLETE,2026-09-23 17:35:48.637729,2026-09-23 17:36:26.672997,38.035268,98.0,0.0015058465069159865,global,27.09440386028143,0.950097280578216,42.42208940603193,0.04078766263514863,14.991175084552768,-0.08246339938286733,35.72846384087997,0.8996322553940138,6.729666755772472,27.09440386028143,"{""attn.o_proj"": {""max_weight"": 0.950097280578216, ""max_weight_position"": 42.42208940603193, ""min_weight"": 0.03875224735079642, ""min_weight_distance"": 14.991175084552768}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 35.72846384087997, ""min_weight"": 0.0, ""min_weight_distance"": 6.729666755772472}}"
99,COMPLETE,2026-09-23 17:36:26.725248,2026-09-23 17:37:07.183423,40.458175,88.0,0.012370729818940163,global,24.567278276268055,1.1899299934546226,31.95165434635181,0.8239399373050733,19.069337310205768,0.15925663521358696,28.460855348358123,0.8650900724879048,23.347473896353534,24.567278276268055,"{""attn.o_proj"": {""max_weight"": 1.1899299934546226, ""max_weight_position"": 31.95165434635181, ""min_weight"": 0.980430844204428, ""min_weight_distance"": 19.069337310205768}, ""mlp.down_proj"": {""max_weight"": 0.15925663521358696, ""max_weight_position"": 28.460855348358123, ""min_weight"": 0.13777133410110176, ""min_weight_distance"": 23.347473896353534}}"
100,COMPLETE,2026-09-23 17:37:07.248140,2026-09-23 17:37:47.950823,40.702683,19.0,0.21042197942733765,per layer,26.67315471739924,1.3579340940739775,35.65855958077577,0.9483213398135927,19.59828740263327,1.0872971769868982,28.731399503254604,0.9453115900517864,26.48450202628352,,"{""attn.o_proj"": {""max_weight"": 1.3579340940739775, ""max_weight_position"": 35.65855958077577, ""min_weight"": 1.2877578794707916, ""min_weight_distance"": 19.59828740263327}, ""mlp.down_proj"": {""max_weight"": 1.0872971769868982, ""max_weight_position"": 28.731399503254604, ""min_weight"": 1.0278346232363034, ""min_weight_distance"": 26.48450202628352}}"
101,COMPLETE,2026-09-23 17:37:47.992702,2026-09-23 17:38:28.066668,40.073966,39.0,0.05584912747144699,per layer,28.261441964833615,1.3954655579152395,36.53845162750564,0.5618224781348895,19.069932324611692,0.38947713413566754,30.221922912975625,0.53133445834141,23.323460956013633,,"{""attn.o_proj"": {""max_weight"": 1.3954655579152395, ""max_weight_position"": 36.53845162750564, ""min_weight"": 0.784003917899826, ""min_weight_distance"": 19.069932324611692}, ""mlp.down_proj"": {""max_weight"": 0.38947713413566754, ""max_weight_position"": 30.221922912975625, ""min_weight"": 0.2069426221023396, ""min_weight_distance"": 23.323460956013633}}"
102,COMPLETE,2026-09-23 17:38:28.119504,2026-09-23 17:39:08.452465,40.332961,72.0,0.020158836618065834,global,27.047955079429315,1.1951190521275785,35.06106276052247,0.48409822545830017,27.833679547735933,0.46576258567106554,28.84956630551286,0.4779703083083264,21.91633840605954,27.047955079429315,"{""attn.o_proj"": {""max_weight"": 1.1951190521275785, ""max_weight_position"": 35.06106276052247, ""min_weight"": 0.5785550123463665, ""min_weight_distance"": 27.833679547735933}, ""mlp.down_proj"": {""max_weight"": 0.46576258567106554, ""max_weight_position"": 28.84956630551286, ""min_weight"": 0.22262068667168247, ""min_weight_distance"": 21.91633840605954}}"
103,COMPLETE,2026-09-23 17:39:08.487696,2026-09-23 17:39:49.565193,41.077497,26.0,0.11018545180559158,global,19.530029414548487,1.3887612984886546,28.957299416402037,0.582555280238098,23.781844311541633,1.0976324322328586,29.773825681804926,0.6870421451333821,27.793874464233934,19.530029414548487,"{""attn.o_proj"": {""max_weight"": 1.3887612984886546, ""max_weight_position"": 28.957299416402037, ""min_weight"": 0.8090302274248831, ""min_weight_distance"": 23.781844311541633}, ""mlp.down_proj"": {""max_weight"": 1.0976324322328586, ""max_weight_position"": 29.773825681804926, ""min_weight"": 0.7541197408092348, ""min_weight_distance"": 27.793874464233934}}"
104,COMPLETE,2026-09-23 17:39:49.630604,2026-09-23 17:40:28.260526,38.629922,59.0,0.012023307383060455,per layer,31.47234977075091,1.1033661140426811,42.29318215681139,0.6143500246023679,25.900552848531497,0.2942614331786383,46.080460584094084,0.18686612322006518,9.168589447890536,,"{""attn.o_proj"": {""max_weight"": 1.1033661140426811, ""max_weight_position"": 42.29318215681139, ""min_weight"": 0.6778529993075402, ""min_weight_distance"": 25.900552848531497}, ""mlp.down_proj"": {""max_weight"": 0.2942614331786383, ""max_weight_position"": 46.080460584094084, ""min_weight"": 0.0549874932312724, ""min_weight_distance"": 9.168589447890536}}"
105,COMPLETE,2026-09-23 17:40:28.296269,2026-09-23 17:41:08.464264,40.167995,36.0,0.1282995045185089,global,20.003370475950028,1.1073814419539219,31.760151102421354,0.47413636220594985,28.180301193603206,1.3343263912517735,32.883183706022805,0.687305588868492,24.209543652982465,20.003370475950028,"{""attn.o_proj"": {""max_weight"": 1.1073814419539219, ""max_weight_position"": 31.760151102421354, ""min_weight"": 0.5250498084624117, ""min_weight_distance"": 28.180301193603206}, ""mlp.down_proj"": {""max_weight"": 1.3343263912517735, ""max_weight_position"": 32.883183706022805, ""min_weight"": 0.9170899860820702, ""min_weight_distance"": 24.209543652982465}}"
106,COMPLETE,2026-09-23 17:41:08.499346,2026-09-23 17:41:48.651766,40.15242,17.0,0.13604921102523804,global,19.465265812330856,1.4456589350338176,30.092798236147615,0.6615390296843933,26.006865076610897,1.2637406441725414,28.863909138130726,0.5899136867184315,26.667008642826456,19.465265812330856,"{""attn.o_proj"": {""max_weight"": 1.4456589350338176, ""max_weight_position"": 30.092798236147615, ""min_weight"": 0.956359809136845, ""min_weight_distance"": 26.006865076610897}, ""mlp.down_proj"": {""max_weight"": 1.2637406441725414, ""max_weight_position"": 28.863909138130726, ""min_weight"": 0.7454979024597493, ""min_weight_distance"": 26.667008642826456}}"
107,COMPLETE,2026-09-23 17:41:48.687044,2026-09-23 17:42:28.441997,39.754953,48.0,0.04498365893959999,global,18.884544328438125,1.3866720767005571,28.54399838718559,0.7642243416094618,26.043373958003418,1.1156027924357286,30.639846466738955,0.5262499843304999,17.617917820698825,18.884544328438125,"{""attn.o_proj"": {""max_weight"": 1.3866720767005571, ""max_weight_position"": 28.54399838718559, ""min_weight"": 1.0597285548447084, ""min_weight_distance"": 26.043373958003418}, ""mlp.down_proj"": {""max_weight"": 1.1156027924357286, ""max_weight_position"": 30.639846466738955, ""min_weight"": 0.587085952038364, ""min_weight_distance"": 17.617917820698825}}"
108,COMPLETE,2026-09-23 17:42:28.477383,2026-09-23 17:43:06.169217,37.691834,97.0,0.0012558061862364411,global,33.59871107661692,1.0205881549859082,46.06609041713773,0.022790945593997348,6.183379798128742,-0.20253642224752863,34.12709573142495,0.9167586654815992,6.284943559440117,33.59871107661692,"{""attn.o_proj"": {""max_weight"": 1.0205881549859082, ""max_weight_position"": 46.06609041713773, ""min_weight"": 0.023260169114161965, ""min_weight_distance"": 6.183379798128742}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 34.12709573142495, ""min_weight"": 0.0, ""min_weight_distance"": 6.284943559440117}}"
109,COMPLETE,2026-09-23 17:43:06.219305,2026-09-23 17:43:46.765553,40.546248,18.0,0.1075933650135994,global,20.753242855440963,1.3368618666260343,30.21450942348039,0.6914943697867048,25.99144938140911,1.2845544434927954,28.547817703987654,0.3985657516079524,27.87672389213479,20.753242855440963,"{""attn.o_proj"": {""max_weight"": 1.3368618666260343, ""max_weight_position"": 30.21450942348039, ""min_weight"": 0.9244324539544474, ""min_weight_distance"": 25.99144938140911}, ""mlp.down_proj"": {""max_weight"": 1.2845544434927954, ""max_weight_position"": 28.547817703987654, ""min_weight"": 0.5119794072520409, ""min_weight_distance"": 27.87672389213479}}"
110,COMPLETE,2026-09-23 17:43:46.818960,2026-09-23 17:44:27.467182,40.648222,62.0,0.0687018558382988,global,19.978359216637443,1.1458728315919684,30.44997305896887,0.5553935379765583,24.019613497882546,1.1750420479397532,29.881863799635187,0.23084571651809127,26.996614238905455,19.978359216637443,"{""attn.o_proj"": {""max_weight"": 1.1458728315919684, ""max_weight_position"": 30.44997305896887, ""min_weight"": 0.6364103660090803, ""min_weight_distance"": 24.019613497882546}, ""mlp.down_proj"": {""max_weight"": 1.1750420479397532, ""max_weight_position"": 29.881863799635187, ""min_weight"": 0.27125342349553766, ""min_weight_distance"": 26.996614238905455}}"
111,COMPLETE,2026-09-23 17:44:27.522065,2026-09-23 17:45:08.560764,41.038699,17.0,0.17426158487796783,global,26.049337614213403,1.302777210208722,34.34646139006491,0.7615606590314539,26.269763378897025,1.388875155228765,28.45850709784764,0.3176291201207197,28.008570716569068,26.049337614213403,"{""attn.o_proj"": {""max_weight"": 1.302777210208722, ""max_weight_position"": 34.34646139006491, ""min_weight"": 0.9921438707777133, ""min_weight_distance"": 26.269763378897025}, ""mlp.down_proj"": {""max_weight"": 1.388875155228765, ""max_weight_position"": 28.45850709784764, ""min_weight"": 0.44114719351284065, ""min_weight_distance"": 28.008570716569068}}"
112,COMPLETE,2026-09-23 17:45:08.594582,2026-09-23 17:45:49.156539,40.561957,17.0,0.09297648072242737,global,21.992618235705276,1.4176128853734693,29.220798345598496,0.9561368531083683,24.455228712598178,1.2815425337814026,29.018239604345425,0.4794552481232118,27.902193933724504,21.992618235705276,"{""attn.o_proj"": {""max_weight"": 1.4176128853734693, ""max_weight_position"": 29.220798345598496, ""min_weight"": 1.355431923146863, ""min_weight_distance"": 24.455228712598178}, ""mlp.down_proj"": {""max_weight"": 1.2815425337814026, ""max_weight_position"": 29.018239604345425, ""min_weight"": 0.6144422935146119, ""min_weight_distance"": 27.902193933724504}}"
113,COMPLETE,2026-09-23 17:45:49.188512,2026-09-23 17:46:29.156952,39.96844,17.0,0.12171657383441925,global,29.245014697833053,1.4713682751998711,29.14955023098513,0.9875622339023228,16.866687294360407,1.1736938695287764,28.356070243961103,0.3932805175020692,21.35193194748459,29.245014697833053,"{""attn.o_proj"": {""max_weight"": 1.4713682751998711, ""max_weight_position"": 29.14955023098513, ""min_weight"": 1.4530677407493924, ""min_weight_distance"": 16.866687294360407}, ""mlp.down_proj"": {""max_weight"": 1.1736938695287764, ""max_weight_position"": 28.356070243961103, ""min_weight"": 0.46159093239728327, ""min_weight_distance"": 21.35193194748459}}"
114,COMPLETE,2026-09-23 17:46:29.198729,2026-09-23 17:47:09.345902,40.147173,24.0,0.11895056813955307,global,18.801056572495643,1.3609866636657448,28.275560960090317,0.9792107015161923,17.029934473233553,1.4896140738599326,29.9735684572248,0.44687927076173595,22.920324939966363,18.801056572495643,"{""attn.o_proj"": {""max_weight"": 1.3609866636657448, ""max_weight_position"": 28.275560960090317, ""min_weight"": 1.3326927056823161, ""min_weight_distance"": 17.029934473233553}, ""mlp.down_proj"": {""max_weight"": 1.4896140738599326, ""max_weight_position"": 29.9735684572248, ""min_weight"": 0.6656776510429454, ""min_weight_distance"": 22.920324939966363}}"
115,COMPLETE,2026-09-23 17:47:09.381094,2026-09-23 17:47:49.648604,40.26751,30.0,0.059985172003507614,global,22.72473993376889,1.439510406111143,29.282678263051825,0.9629383986962716,28.190447854695744,1.1015236785150866,36.514991481626126,0.4652536453231445,27.399899258996545,22.72473993376889,"{""attn.o_proj"": {""max_weight"": 1.439510406111143, ""max_weight_position"": 29.282678263051825, ""min_weight"": 1.3861598453672836, ""min_weight_distance"": 28.190447854695744}, ""mlp.down_proj"": {""max_weight"": 1.1015236785150866, ""max_weight_position"": 36.514991481626126, ""min_weight"": 0.5124879068389036, ""min_weight_distance"": 27.399899258996545}}"
116,PRUNED,2026-09-23 17:47:49.680653,2026-09-23 17:48:21.249286,31.568633,,,per layer,25.79257832142101,1.3644327450381213,28.583406881377588,0.9433515229839478,22.023649163337225,0.7871333452924603,28.992116303176847,0.577389018676622,26.8348303872976,,"{""attn.o_proj"": {""max_weight"": 1.3644327450381213, ""max_weight_position"": 28.583406881377588, ""min_weight"": 1.2871397080408802, ""min_weight_distance"": 22.023649163337225}, ""mlp.down_proj"": {""max_weight"": 0.7871333452924603, ""max_weight_position"": 28.992116303176847, ""min_weight"": 0.4544821498060603, ""min_weight_distance"": 26.8348303872976}}"
