number,corrected_refusals,kl,p.direction_scope,p.direction_index,p.attn.o_proj.max_weight,p.attn.o_proj.max_weight_position,p.attn.o_proj.min_weight,p.attn.o_proj.min_weight_distance,p.mlp.down_proj.max_weight,p.mlp.down_proj.max_weight_position,p.mlp.down_proj.min_weight,p.mlp.down_proj.min_weight_distance,direction_index_eff,abl_params,duration_s
23,94,0.006783726159483194,per layer,30.283982495084192,1.2695143510990616,46.323568474295556,0.90235766846125,5.115577405065065,0.9524147209894394,39.06705437907602,0.8243785882114625,6.790762780069242,,"{""attn.o_proj"": {""max_weight"": 1.2695143510990616, ""max_weight_position"": 46.323568474295556, ""min_weight"": 1.145556009935846, ""min_weight_distance"": 5.115577405065065}, ""mlp.down_proj"": {""max_weight"": 0.9524147209894394, ""max_weight_position"": 39.06705437907602, ""min_weight"": 0.7851503030810879, ""min_weight_distance"": 6.790762780069242}}",13.061611
24,97,0.002930873539298773,global,26.55538795597595,1.0653373327811184,39.62961230431494,0.42216158144331806,5.990235170259625,0.2706335441484039,28.630584969863552,0.3125834217850647,24.032689582597857,26.55538795597595,"{""attn.o_proj"": {""max_weight"": 1.0653373327811184, ""max_weight_position"": 39.62961230431494, ""min_weight"": 0.44974449317748333, ""min_weight_distance"": 5.990235170259625}, ""mlp.down_proj"": {""max_weight"": 0.2706335441484039, ""max_weight_position"": 28.630584969863552, ""min_weight"": 0.08459555927972746, ""min_weight_distance"": 24.032689582597857}}",13.98951
25,89,0.0041165901347994804,per layer,40.36854733102791,1.2247167280938642,35.26442724278242,0.15826000240125515,12.831610330048825,1.2800055138030604,31.291068057743274,0.7633169188677613,1.161761637891793,,"{""attn.o_proj"": {""max_weight"": 1.2247167280938642, ""max_weight_position"": 35.26442724278242, ""min_weight"": 0.1938236723289923, ""min_weight_distance"": 12.831610330048825}, ""mlp.down_proj"": {""max_weight"": 1.2800055138030604, ""max_weight_position"": 31.291068057743274, ""min_weight"": 0.9770498649298978, ""min_weight_distance"": 1.161761637891793}}",13.253564
26,86,0.014867869205772877,per layer,27.896474918780825,1.4798153967528422,45.4801264601527,0.9004760203170599,14.877065247721916,0.4038972763468962,36.11460301543343,0.3617287958676807,21.835880810362525,,"{""attn.o_proj"": {""max_weight"": 1.4798153967528422, ""max_weight_position"": 45.4801264601527, ""min_weight"": 1.3325382792719103, ""min_weight_distance"": 14.877065247721916}, ""mlp.down_proj"": {""max_weight"": 0.4038972763468962, ""max_weight_position"": 36.11460301543343, ""min_weight"": 0.14610127542719864, ""min_weight_distance"": 21.835880810362525}}",13.815529
27,94,0.02198082208633423,per layer,30.696732416876323,0.8841911092814221,44.7696738560775,0.9826922047808109,1.9872512057422949,1.1158612901502984,31.680250051903112,0.36061925630007785,6.525592109183158,,"{""attn.o_proj"": {""max_weight"": 0.8841911092814221, ""max_weight_position"": 44.7696738560775, ""min_weight"": 0.8688877106273516, ""min_weight_distance"": 1.9872512057422949}, ""mlp.down_proj"": {""max_weight"": 1.1158612901502984, ""max_weight_position"": 31.680250051903112, ""min_weight"": 0.40240106858804603, ""min_weight_distance"": 6.525592109183158}}",12.936174
28,95,0.004692482762038708,global,20.233554755242718,1.216354793845631,30.446878814462707,0.4682292310071259,13.113413698291042,0.7445587739129004,42.91065678546928,0.343805421517836,14.842234172539836,20.233554755242718,"{""attn.o_proj"": {""max_weight"": 1.216354793845631, ""max_weight_position"": 30.446878814462707, ""min_weight"": 0.569532869754171, ""min_weight_distance"": 13.113413698291042}, ""mlp.down_proj"": {""max_weight"": 0.7445587739129004, ""max_weight_position"": 42.91065678546928, ""min_weight"": 0.2559833431099279, ""min_weight_distance"": 14.842234172539836}}",13.780495
29,79,0.07468357682228088,per layer,31.287786757631586,1.4238371390366562,44.74611312183379,0.24959163603575696,1.6579998014257415,1.377852220659138,35.5717159307472,0.11608579037255062,21.648546259249777,,"{""attn.o_proj"": {""max_weight"": 1.4238371390366562, ""max_weight_position"": 44.74611312183379, ""min_weight"": 0.3553778409806306, ""min_weight_distance"": 1.6579998014257415}, ""mlp.down_proj"": {""max_weight"": 1.377852220659138, ""max_weight_position"": 35.5717159307472, ""min_weight"": 0.15994906405179005, ""min_weight_distance"": 21.648546259249777}}",13.473294
30,83,0.038337934762239456,per layer,42.265452583991916,1.205553186549131,42.42374802702001,0.8435246021918145,14.775927106813615,0.6496884129223428,37.66474526610823,0.31628727225808084,27.76658687183276,,"{""attn.o_proj"": {""max_weight"": 1.205553186549131, ""max_weight_position"": 42.42374802702001, ""min_weight"": 1.01691377210493, ""min_weight_distance"": 14.775927106813615}, ""mlp.down_proj"": {""max_weight"": 0.6496884129223428, ""max_weight_position"": 37.66474526610823, ""min_weight"": 0.2054881759408895, ""min_weight_distance"": 27.76658687183276}}",14.04778
31,94,0.007034251466393471,per layer,36.55668868290575,1.0422139367745518,42.92311883441165,0.04921718906405981,14.225669015521136,0.6083769059297524,39.83799847414714,0.27974831235866426,12.979372799424482,,"{""attn.o_proj"": {""max_weight"": 1.0422139367745518, ""max_weight_position"": 42.92311883441165, ""min_weight"": 0.051294840371431186, ""min_weight_distance"": 14.225669015521136}, ""mlp.down_proj"": {""max_weight"": 0.6083769059297524, ""max_weight_position"": 39.83799847414714, ""min_weight"": 0.17019241271183408, ""min_weight_distance"": 12.979372799424482}}",13.517448
32,96,0.0031330042984336615,global,32.170342623064876,1.3226487694360323,45.917182160245495,0.9242628826344974,12.302249497785255,1.1845694654086356,37.52305131397136,0.13274378159987776,7.629444801626338,32.170342623064876,"{""attn.o_proj"": {""max_weight"": 1.3226487694360323, ""max_weight_position"": 45.917182160245495, ""min_weight"": 1.2224751643519178, ""min_weight_distance"": 12.302249497785255}, ""mlp.down_proj"": {""max_weight"": 1.1845694654086356, ""max_weight_position"": 37.52305131397136, ""min_weight"": 0.15724423040608787, ""min_weight_distance"": 7.629444801626338}}",13.456152
33,95,0.001059329486452043,per layer,19.69205981300913,1.3419170450155935,45.83435158370315,0.3460871558694677,8.643169640079961,-0.21511041227033506,44.97622696266346,0.012479316662447282,25.723908048530696,,"{""attn.o_proj"": {""max_weight"": 1.3419170450155935, ""max_weight_position"": 45.83435158370315, ""min_weight"": 0.4644202535222072, ""min_weight_distance"": 8.643169640079961}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 44.97622696266346, ""min_weight"": 0.0, ""min_weight_distance"": 25.723908048530696}}",12.959035
34,97,0.0006099306046962738,global,33.008329845916094,1.2068047908482846,38.9877846162864,0.1868274362903105,4.454890468639801,-0.058858661218297775,33.131881972437114,0.6163035772874993,1.6639960337874107,33.008329845916094,"{""attn.o_proj"": {""max_weight"": 1.2068047908482846, ""max_weight_position"": 38.9877846162864, ""min_weight"": 0.2254642451770494, ""min_weight_distance"": 4.454890468639801}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 33.131881972437114, ""min_weight"": 0.0, ""min_weight_distance"": 1.6639960337874107}}",12.939973
35,71,0.010776774026453495,per layer,37.712910759954994,1.457141455353892,32.50819544471224,0.034197903779960015,23.82266282462345,0.14951531086397102,31.84905989809772,0.3636019500909804,1.8299550871517556,,"{""attn.o_proj"": {""max_weight"": 1.457141455353892, ""max_weight_position"": 32.50819544471224, ""min_weight"": 0.049831183283983296, ""min_weight_distance"": 23.82266282462345}, ""mlp.down_proj"": {""max_weight"": 0.14951531086397102, ""max_weight_position"": 31.84905989809772, ""min_weight"": 0.05436405859859901, ""min_weight_distance"": 1.8299550871517556}}",13.44041
