run,trial,per_layer,kl,A1,mass,partic,centroid
keyword,60,True,0.02883143350481987,42.074613441869886,42.07461355608764,35.24855846769826,30.689156182341453
keyword,61,True,0.014623007737100124,32.05058427574406,32.050584370037065,31.508121116947606,32.723442150514735
keyword,62,True,0.1503104269504547,54.51235317716997,54.51235325045776,28.712697114516985,33.34423038912099
keyword,63,True,0.014799169264733791,37.43681893866976,37.43681906057095,31.314021861596373,32.64482645850584
keyword,64,True,0.24854624271392822,62.56677985823588,62.56678011565822,32.100134895338684,30.92109625162821
keyword,65,True,0.006539002060890198,29.53604686589466,29.53604696561,28.07534382391527,33.90083416026806
keyword,66,False,0.003624448785558343,22.539791155194287,47.36017480044523,36.53412148930621,30.0004143571233
keyword,67,True,0.008732928894460201,37.471195531839996,37.47119576653337,28.693482064604126,33.79183746286485
keyword,68,True,0.025044212117791176,40.589282046689576,40.589282199598124,31.900683691082488,31.98636704017134
keyword,69,False,0.002002538414672017,3.78789183309561,28.153230908014514,15.825676257495777,40.171718479301724
keyword,70,True,0.1734703630208969,57.67887998725037,57.67888040462019,29.613180096803863,31.91846750233289
keyword,71,True,0.2718285918235779,66.3288526407203,66.32885284595832,34.90570122708376,30.423456755367354
keyword,72,True,0.2964607775211334,66.69269250898546,66.69269273598174,35.733130539908124,30.67323004315641
keyword,73,True,0.035355035215616226,46.97471625364708,46.97471650218435,40.38937324878892,27.82436387283136
keyword,74,False,0.004153554327785969,25.596142765836987,43.42165040634877,28.94572572093818,33.58533100081488
keyword,75,True,0.10819412022829056,48.89213974099508,48.89213975589116,26.891448145677707,32.93194995890478
keyword,76,True,0.010593671351671219,40.1852540295499,40.185254268274576,27.94536208037865,34.3227476583156
keyword,77,True,0.0456816628575325,54.670950279576246,54.67095061004364,32.748802739905365,32.171090100293306
keyword,78,True,0.0035424097441136837,29.292009435686722,29.292009440007202,20.071813189914238,35.925945666659295
keyword,79,True,0.19467124342918396,62.454264030869375,62.45426421031606,33.40907243585115,31.17087694936159
keyword,80,True,0.21596281230449677,73.46693105200205,73.46693135801445,38.79451675018285,29.39804451752108
keyword,81,True,0.05279291048645973,51.06210169616583,51.06210179843443,31.192687272334023,31.71885402726353
keyword,82,True,0.06395259499549866,45.20535372769899,45.205353822690014,26.08275686269582,30.955141921194862
keyword,83,True,0.11829023063182831,40.21227075656205,40.212270787559476,22.717970328126093,29.026986184601096
keyword,84,True,0.1030162051320076,33.685319493987706,33.68531941882092,21.885637739768878,29.237738062736582
keyword,85,True,0.026152990758419037,47.3182507713494,47.31825084225618,32.539188027173296,30.10418383081701
keyword,86,True,0.22314174473285675,56.958428706732334,56.95842882607687,31.379430191081052,30.53702999819233
keyword,87,True,0.045881107449531555,28.561082629770794,28.56108243762582,18.567108666111487,30.776809850146513
keyword,88,True,0.001739623723551631,19.81815096887948,19.818150946128426,19.565263349914556,37.90203500431403
keyword,89,False,0.019233083352446556,24.033460347294813,52.440504563299456,29.70901486561957,30.351867740682692
keyword,90,False,0.008827581070363522,19.947338214267056,52.29151241357161,32.89884148027235,29.44935754836831
keyword,91,False,0.02924300916492939,25.583666165773337,46.085326691386186,27.790648131592565,32.255923267939075
keyword,92,False,0.006835009902715683,18.585500999759063,44.71121422215067,24.719100089775953,30.931322164637987
keyword,93,True,0.06430944055318832,45.166074449054754,45.16607448830963,26.11520595701894,29.548415304333947
keyword,94,True,0.040109243243932724,50.40552469560628,50.405524633498636,31.810363496245873,30.187096534270907
keyword,95,True,0.010917111299932003,20.742494346395663,20.74249428449171,15.298642782926729,28.616520012347074
keyword,96,False,0.026320528239011765,26.01157247479183,56.590272448091284,32.83975325711739,29.182402700550295
keyword,97,False,0.01384534128010273,21.042132474553597,39.70282033043061,27.286350776424346,29.687351671429003
keyword,98,False,0.08524364233016968,30.734612678732013,75.32985757581405,34.81713345289596,29.371387236238842
keyword,99,False,0.02899501472711563,30.843805218652086,59.50840374649344,31.774168587458224,32.07406065564462
keyword,100,True,0.008055992424488068,37.5589339468864,37.558934136796,26.031149943239658,34.69565074018476
keyword,101,False,0.029851458966732025,27.634306539157443,61.16563109179278,35.90478032696902,29.18098936668416
keyword,102,False,0.031052161008119583,20.015403328300053,59.44366367530356,38.00905125165715,29.09356132702561
keyword,103,False,0.01948731765151024,34.179627679800475,81.30020141936537,42.60245899350709,26.50278258778661
keyword,104,True,0.0014576709363609552,18.442086986082316,18.44208686393847,16.213609947160645,34.415735956667596
keyword,105,False,0.03317675739526749,25.477773196692,49.07417882183325,30.407606334301367,28.421008548248786
keyword,106,False,0.024514539167284966,22.357075241414137,44.72360890767247,28.240378364428217,29.36220317435318
keyword,107,True,0.01052253320813179,42.792453259943535,42.79245351757868,27.806284365357335,34.409229949003546
keyword,108,True,0.004160498734563589,34.05523675841806,34.05523685826991,23.63309938379569,36.670204527494015
keyword,109,True,0.0101593853905797,37.277751432180516,37.27775135769953,25.563360477793516,35.107616404001696
keyword,110,False,0.00024081379524432123,3.056208163097877,28.164624233778223,16.83319930547334,39.753889720307775
keyword,111,True,0.007080069277435541,35.56912354924215,35.569123482208,24.803339620820502,35.35523070732778
keyword,112,True,0.005119886249303818,29.85724834185013,29.857248352526817,21.97364679075352,36.635174907803204
keyword,113,True,0.013187392614781857,42.74524906601408,42.74524920123339,27.84981331189578,33.940621489957245
keyword,114,True,0.007982599548995495,38.79861824816626,38.79861824110783,25.51687561894825,35.0972628358026
keyword,115,True,0.0073173330165445805,37.0644426079937,37.06444256709052,22.126754176552595,37.18439623487828
corrected,60,True,0.028147006407380104,42.074613441869886,42.07461355608764,35.24855846769826,30.689156182341453
corrected,61,True,0.0806507021188736,52.14950203810414,52.14950225056528,37.60446323373945,29.261360271980283
corrected,62,True,0.125539630651474,52.90220336586559,52.90220356800272,37.3699670465087,29.452195291043232
corrected,63,True,0.04123324528336525,47.23491406640338,47.234914318512054,38.73424752196681,28.607465407435075
corrected,64,True,0.10149280726909637,49.617603097682704,49.61760322162762,26.775993847080606,30.074096364833807
corrected,65,True,0.12107811123132706,35.74667080303317,35.746670728015644,20.811246189667905,28.725929003795706
corrected,66,True,0.20737327635288239,52.139722130581575,52.13972229081685,35.576280100367754,30.571927193079482
corrected,67,True,0.3711971044540405,72.78336585539574,72.7833661303065,36.72002239594195,29.310921304842637
corrected,68,True,0.03363978862762451,55.660740013204,55.660739965213445,29.160547090266242,31.74800868419628
corrected,69,False,0.012176052667200565,20.422705473568307,48.265660151238215,29.80242913101296,30.13378504088531
corrected,70,False,0.0046861739829182625,22.500346486123092,52.80580086484299,39.82920331735917,27.86528953271957
corrected,71,True,0.04828162491321564,52.37516849477261,52.37516878036158,40.90917503001957,27.431877967683164
corrected,72,True,0.01347048394382,29.487967283254022,29.48796737129448,33.757449698710445,30.937955336202176
corrected,73,False,0.006615481339395046,18.114209891177396,46.44107545380679,36.638612233366075,29.58225020962404
corrected,74,True,0.41798245906829834,74.2610416332562,74.26104198535353,38.75493643643442,28.228768207023954
corrected,75,True,0.24867969751358032,64.35827578064881,64.3582759473118,34.82442019542714,30.407160075283098
corrected,76,True,0.1635335087776184,60.29919177790023,60.29919194226156,32.37312416661994,31.828311100471304
corrected,77,True,0.3426211178302765,56.308280080815585,56.30828045489239,31.37489740068956,30.16720880056532
corrected,78,False,0.010967698879539967,21.60567679360122,59.69004894377308,32.777420488678885,31.79747238897375
corrected,79,False,0.016499880701303482,16.08548064045032,55.15672112573719,28.43803287750464,33.55412057922032
corrected,80,False,0.020555885508656502,29.300038667652846,70.01020439961773,36.38245806991013,30.756563947550728
corrected,81,False,0.020171117037534714,26.20911132625223,63.87110654563121,38.04133277625115,30.157321551434542
corrected,82,False,0.018444417044520378,24.535590905872997,56.21397292761557,29.018090639411483,34.21529010337677
corrected,83,True,0.2937128245830536,60.80008532107178,60.80008557281678,36.66149537957768,28.66777896087217
corrected,84,True,0.1346425563097,69.80624254778166,69.80624283265435,36.29849124800423,30.688552421232664
corrected,85,True,0.08315255492925644,70.65534337370748,70.65534361134272,34.60079969717152,31.747808879453864
corrected,86,False,0.01813664846122265,35.94400508224891,72.40812215061,35.77607689326961,30.63383609819959
corrected,87,True,0.6026358008384705,99.48447259544264,99.4844731258924,40.2354398769371,27.56073646265373
corrected,88,True,0.21226705610752106,67.48115299902994,67.4811533302427,38.471115809296506,29.19912005766694
corrected,89,True,0.06997770071029663,50.53963489596336,50.539635012686674,34.074146723177776,31.434341938323545
corrected,90,True,0.08288569748401642,53.316662495076045,53.31666267614044,33.611324959632086,31.46643717396211
corrected,91,True,0.006307162810117006,23.94908930979131,23.949089551413103,29.302234604446,32.40550745684654
corrected,92,True,0.049632925540208817,45.28014119346815,45.28014130681593,28.867584583977763,34.14577032481206
corrected,93,True,0.0699872300028801,62.188981853997106,62.18898216730254,40.5103447406418,28.51959528326719
corrected,94,False,0.0068066841922700405,13.904792009648151,40.5378868171218,34.64730192733166,30.448003433997453
corrected,95,True,0.07224414497613907,63.823831270373866,63.82383178938021,43.11101167505369,27.501785529170775
corrected,96,False,0.006485587917268276,17.280451381094203,46.20637199598766,33.95119640210643,30.818241010663776
corrected,97,True,0.1348697692155838,58.81362836085103,58.81362856056041,34.5781408038086,30.482912796553922
corrected,98,True,0.01868976466357708,39.620342402738785,39.6203426733159,30.77396742927121,32.71041431755239
corrected,99,True,0.152840718626976,62.98159652347506,62.981596799759394,37.965331852961,28.8244417818897
corrected,100,True,0.1905185878276825,66.39473567952166,66.39473605120317,39.9795517453256,27.67944337341517
corrected,101,True,0.5815575122833252,83.01829474069342,83.01829512968843,38.91393102454043,28.298591408957112
corrected,102,True,0.002709852997213602,20.81663838018025,20.816638478063425,24.698637181408543,35.48249014428852
corrected,103,True,0.16003228724002838,55.98281282653882,55.982813038082725,34.47279753336837,30.442099422875437
corrected,104,True,0.16036005318164825,61.14051171090416,61.14051199427266,31.646209610224258,30.402834562283537
corrected,105,False,0.056675855070352554,25.818356280089404,88.89846367829803,40.86454054500618,28.812654707673133
corrected,106,False,0.001761964289471507,8.373574442307499,29.923458261689575,25.124274872412123,34.89440863340564
corrected,107,True,0.09792789816856384,63.296043178945425,63.29604357197119,42.62956156405653,26.606634079843513
corrected,108,True,0.10436370968818665,58.9791797366542,58.97918011376914,41.70613290181046,26.943318078346273
corrected,109,True,0.5333812832832336,84.33804382124532,84.33804428096472,40.80762452353687,27.777352643694346
corrected,110,True,0.050050389021635056,48.39686802344262,48.396868169356814,35.91926007546095,29.826487777032707
corrected,111,False,0.013758628629148006,25.18951293266629,61.62778728986205,32.87070078775859,32.24120298723472
corrected,112,False,0.005347180180251598,24.87486502191809,50.50564602916088,32.05507630902145,32.60917337315279
corrected,113,False,0.009158880449831486,21.26447923386954,49.26689555217932,28.480039220147027,34.12172244722989
corrected,114,False,0.010292929597198963,10.745286350577162,47.18242530780972,26.899346979783484,34.885694006102916
corrected,115,True,0.4259492754936218,75.39758048840145,75.39758094803054,40.01222034096015,28.67986069219813
