search,reference,n_candidates,objective_floor,threshold,rule_branch_fired,n_obj_below_threshold,n_ref_below_threshold,tbf,tbf_num,tbf_den,tbf_cp_lo,tbf_cp_hi,slope,slope_ci_lo,slope_ci_hi,intercept,mean_signed_error_per100,K_min,K_max,ref_min,ref_max,spearman,spearman_ci_lo,spearman_ci_hi,low_region_gbf,low_region_n_cand,low_region_num,low_region_den,low_region_n_pairs,low_region_chance_mean,source
gemma,C,116,72.0,10.0,fallback1,0,6,1.0,6,6,0.5407418735600995,1.0,0.3084308631612119,0.27633930980405663,0.3565445547059271,69.04228730140044,20.46551724137931,72.0,100.0,5.0,97.0,0.9241055434988592,0.8907259355328077,0.9435904513754675,0.46956521739130436,23,54,115,253,0.45919130434782607,"iter_4/gen_art/gen_art_experiment_15/results/per_candidate.csv::model==gemma; columns K,C,sigma_K,KL_replay"
gemma,J,116,72.0,10.0,fallback1,0,5,1.0,5,5,0.4781762498950185,1.0,0.3161481122358874,0.28398268529599663,0.36301506864497907,68.23040102060892,19.612068965517242,72.0,100.0,7.0,98.0,0.9249143492703377,0.8937126221643785,0.9439427594007416,0.4774774774774775,23,53,111,253,0.45964864864864863,"iter_4/gen_art/gen_art_experiment_15/results/per_candidate.csv::model==gemma; columns K,J,sigma_K,KL_replay"
gams,C,116,16.0,10.0,fallback1,0,37,1.0,37,37,0.9051094125850101,1.0,0.7383595991033256,0.7158604839034699,0.7613079051901789,26.46456314978306,14.956896551724139,16.0,99.0,0.0,98.0,0.9685179486462475,0.9421412302468358,0.9829097424022084,0.01694915254237288,67,10,590,2211,0.2648372881355932,"iter_4/gen_art/gen_art_experiment_15/results/per_candidate.csv::model==gams; columns K,C,sigma_K,KL_replay"
gams,J,70,16.0,10.0,fallback1,0,6,1.0,6,6,0.5407418735600995,1.0,0.812956029367219,0.7697324599409914,0.8643708142963302,16.947794390222093,6.003751803751804,16.0,99.0,2.0,98.0,0.9649667062359484,0.9270446328860745,0.9822808878888541,0.2157676348547718,35,52,241,595,0.3322572614107884,"iter_4/gen_art/gen_art_experiment_15/results/per_candidate.csv::model==gams; columns K,J,sigma_K,KL_replay"
