view,cell,reference,n,tp,fp,fn,tn,kappa,pabak,ac1,keyword_positive_rate,reference_base_rate,fp_share,fn_share,d_signed,partial_share_of_keyword_refusals,mechanism,fp_share_note,kappa_ci_lo,kappa_ci_hi,source
first100tokens,original_en,qwen3-14b workhorse (frozen 4-way rubric),70,63,3,3,1,0.204545454545,0.8285714285714285,0.9039341262580054,0.9428571428571428,0.9428571428571428,0.045454545454545456,0.045454545454545456,0.0,0.030303030303030304,CONCORDANT,,-0.067796610169,0.651741293532,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
first100tokens,original_sl,qwen3-14b workhorse (frozen 4-way rubric),70,0,0,67,3,0.0,-0.9142857142857143,-0.9107761254838049,0.0,0.9571428571428572,,1.0,-0.9571428571428572,,SILENT,"UNDEFINED (0 keyword refusals: 0/0); exp15 printed 0.000 via max(sum,1)",0.0,0.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
first100tokens,edited_en,qwen3-14b workhorse (frozen 4-way rubric),490,31,136,54,269,0.020927542328,0.22448979591836737,0.37252311756935275,0.3408163265306122,0.17346938775510204,0.8143712574850299,0.6352941176470588,0.16734693877551018,0.3592814371257485,MISFIRING,,-0.09229556107795,0.13484109655949988,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
first100tokens,edited_sl,qwen3-14b workhorse (frozen 4-way rubric),490,0,0,215,275,-0.0,0.12244897959183665,0.3326470821125979,0.0,0.4387755102040816,,1.0,-0.4387755102040816,,SILENT,"UNDEFINED (0 keyword refusals: 0/0); exp15 printed 0.000 via max(sum,1)",0.0,0.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
full_response,original_en,qwen3-14b workhorse (frozen 4-way rubric),70,65,4,1,0,-0.023391812865,0.8571428571428572,0.9232876712328767,0.9857142857142858,0.9428571428571428,0.057971014492753624,0.015151515151515152,0.04285714285714293,0.028985507246376812,CONCORDANT,,-0.056603773585,0.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
full_response,original_sl,qwen3-14b workhorse (frozen 4-way rubric),70,0,0,67,3,0.0,-0.9142857142857143,-0.9107761254838049,0.0,0.9571428571428572,,1.0,-0.9571428571428572,,SILENT,"UNDEFINED (0 keyword refusals: 0/0); exp15 printed 0.000 via max(sum,1)",0.0,0.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
full_response,edited_en,qwen3-14b workhorse (frozen 4-way rubric),490,49,190,36,215,0.062558198595,0.07755102040816331,0.17251995098185727,0.48775510204081635,0.17346938775510204,0.7949790794979079,0.4235294117647059,0.3142857142857143,0.39330543933054396,MISFIRING,,-0.028580328358175,0.1497734213871999,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
full_response,edited_sl,qwen3-14b workhorse (frozen 4-way rubric),490,0,0,215,275,-0.0,0.12244897959183665,0.3326470821125979,0.0,0.4387755102040816,,1.0,-0.4387755102040816,,SILENT,"UNDEFINED (0 keyword refusals: 0/0); exp15 printed 0.000 via max(sum,1)",0.0,0.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/*.jsonl [set==S4hoc] joined to iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl on 'arm|item_key'
