number,state,datetime_start,datetime_complete,duration_s,refusals,kl,p.direction_scope,p.direction_index,p.attn.o_proj.max_weight,p.attn.o_proj.max_weight_position,p.attn.o_proj.min_weight,p.attn.o_proj.min_weight_distance,p.mlp.down_proj.max_weight,p.mlp.down_proj.max_weight_position,p.mlp.down_proj.min_weight,p.mlp.down_proj.min_weight_distance,direction_index_eff,abl_params
42,COMPLETE,2026-09-23 16:51:32.516828,2026-09-23 16:52:11.159893,38.643065,98,0.012888035736978054,per layer,20.707173880117146,0.9914719132125418,46.81057253187694,0.6956487695918402,16.90554481002505,1.0927104465907158,35.522484050808224,0.08952500356210458,10.280412108698776,,"{""attn.o_proj"": {""max_weight"": 0.9914719132125418, ""max_weight_position"": 46.81057253187694, ""min_weight"": 0.6897162165111724, ""min_weight_distance"": 16.90554481002505}, ""mlp.down_proj"": {""max_weight"": 1.0927104465907158, ""max_weight_position"": 35.522484050808224, ""min_weight"": 0.09782490662338271, ""min_weight_distance"": 10.280412108698776}}"
43,COMPLETE,2026-09-23 16:52:11.186910,2026-09-23 16:52:50.967803,39.780893,88,0.016584597527980804,per layer,19.74196437508657,1.3001684248538212,32.08985260021106,0.25262995261362176,21.93028725527035,0.04773746643899546,31.856750941965675,0.715795166288015,21.851661425348215,,"{""attn.o_proj"": {""max_weight"": 1.3001684248538212, ""max_weight_position"": 32.08985260021106, ""min_weight"": 0.3284614875605481, ""min_weight_distance"": 21.93028725527035}, ""mlp.down_proj"": {""max_weight"": 0.04773746643899546, ""max_weight_position"": 31.856750941965675, ""min_weight"": 0.034170247727869286, ""min_weight_distance"": 21.851661425348215}}"
44,COMPLETE,2026-09-23 16:52:51.023587,2026-09-23 16:53:28.672831,37.649244,100,0.0011283347848802805,per layer,39.7690645250466,0.8608309420938871,46.3735620403464,0.502590991896195,8.658475800852349,-0.092752712610608,29.63871079480795,0.9992755258816318,3.1835017901662406,,"{""attn.o_proj"": {""max_weight"": 0.8608309420938871, ""max_weight_position"": 46.3735620403464, ""min_weight"": 0.43264587704190277, ""min_weight_distance"": 8.658475800852349}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 29.63871079480795, ""min_weight"": 0.0, ""min_weight_distance"": 3.1835017901662406}}"
45,COMPLETE,2026-09-23 16:53:28.726119,2026-09-23 16:54:07.081299,38.35518,99,0.005370038561522961,global,33.691115749168816,1.421942562175185,31.527901420390748,0.6502695878566195,25.246664793542234,-0.14674264560933245,30.914000792448224,0.36151160508403934,12.747432535979712,33.691115749168816,"{""attn.o_proj"": {""max_weight"": 1.421942562175185, ""max_weight_position"": 31.527901420390748, ""min_weight"": 0.9246460038614431, ""min_weight_distance"": 25.246664793542234}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 30.914000792448224, ""min_weight"": 0.0, ""min_weight_distance"": 12.747432535979712}}"
46,COMPLETE,2026-09-23 16:54:07.130365,2026-09-23 16:54:45.070817,37.940452,100,0.0007921619690023363,global,25.20970557411984,1.0364867415484358,38.53861980666168,0.8368933166547248,9.969385806794154,1.4151029466167038,35.45490983602075,0.39116532363649714,1.431900881182661,25.20970557411984,"{""attn.o_proj"": {""max_weight"": 1.0364867415484358, ""max_weight_position"": 38.53861980666168, ""min_weight"": 0.867428826803119, ""min_weight_distance"": 9.969385806794154}, ""mlp.down_proj"": {""max_weight"": 1.4151029466167038, ""max_weight_position"": 35.45490983602075, ""min_weight"": 0.5535392020922837, ""min_weight_distance"": 1.431900881182661}}"
47,COMPLETE,2026-09-23 16:54:45.117896,2026-09-23 16:55:23.371124,38.253228,100,0.002497658831998706,global,38.28327271371856,1.3952361406377172,33.90596335448413,0.629061209478275,14.98287012005069,0.29428359153216843,41.18497188653289,0.3351470873157041,1.3224300221628427,38.28327271371856,"{""attn.o_proj"": {""max_weight"": 1.3952361406377172, ""max_weight_position"": 33.90596335448413, ""min_weight"": 0.877688934137363, ""min_weight_distance"": 14.98287012005069}, ""mlp.down_proj"": {""max_weight"": 0.29428359153216843, ""max_weight_position"": 41.18497188653289, ""min_weight"": 0.09862828854681065, ""min_weight_distance"": 1.3224300221628427}}"
48,COMPLETE,2026-09-23 16:55:23.420986,2026-09-23 16:56:01.981624,38.560638,99,0.003079335205256939,global,40.87239608615868,1.2525927062772837,33.15227622365866,0.7168953208903243,9.098398231975944,1.1778839766101659,43.15584027763268,0.05089421168977348,12.622494084876362,40.87239608615868,"{""attn.o_proj"": {""max_weight"": 1.2525927062772837, ""max_weight_position"": 33.15227622365866, ""min_weight"": 0.897977850111533, ""min_weight_distance"": 9.098398231975944}, ""mlp.down_proj"": {""max_weight"": 1.1778839766101659, ""max_weight_position"": 43.15584027763268, ""min_weight"": 0.05994747645158998, ""min_weight_distance"": 12.622494084876362}}"
49,COMPLETE,2026-09-23 16:56:02.040100,2026-09-23 16:56:39.575292,37.535192,100,0.0011772813741117716,per layer,38.38447664938904,1.1453616302799037,29.61234963453288,0.20936944959777493,2.9007037550866377,-0.18380213233627782,30.58960805518623,0.09779690989022694,18.954780972809075,,"{""attn.o_proj"": {""max_weight"": 1.1453616302799037, ""max_weight_position"": 29.61234963453288, ""min_weight"": 0.23980373412211362, ""min_weight_distance"": 2.9007037550866377}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 30.58960805518623, ""min_weight"": 0.0, ""min_weight_distance"": 18.954780972809075}}"
50,COMPLETE,2026-09-23 16:56:39.628737,2026-09-23 16:57:19.250100,39.621363,81,0.28308582305908203,per layer,41.53789786362955,1.0078580294611137,42.215291959073284,0.6205395940163719,26.528766456157843,1.2772427646426443,33.132717104414816,0.8326683261031333,16.548577386211065,,"{""attn.o_proj"": {""max_weight"": 1.0078580294611137, ""max_weight_position"": 42.215291959073284, ""min_weight"": 0.6254158124279401, ""min_weight_distance"": 26.528766456157843}, ""mlp.down_proj"": {""max_weight"": 1.2772427646426443, ""max_weight_position"": 33.132717104414816, ""min_weight"": 1.063519594862329, ""min_weight_distance"": 16.548577386211065}}"
51,COMPLETE,2026-09-23 16:57:19.282828,2026-09-23 16:57:58.052867,38.770039,99,0.01975582353770733,per layer,34.93754595670812,1.2112696711202506,44.85399627216432,0.294173885432223,12.49704783904286,0.7490654216316108,41.82885184296859,0.9051468488813411,17.02543531597856,,"{""attn.o_proj"": {""max_weight"": 1.2112696711202506, ""max_weight_position"": 44.85399627216432, ""min_weight"": 0.35632390545965503, ""min_weight_distance"": 12.49704783904286}, ""mlp.down_proj"": {""max_weight"": 0.7490654216316108, ""max_weight_position"": 41.82885184296859, ""min_weight"": 0.6780142059958257, ""min_weight_distance"": 17.02543531597856}}"
