cell_id,source,n_rpc_en,n_rpc_sl,partial_share_rpc_en,partial_share_rpc_sl,z,obs_strict_minus_broad,fold,pred
A_orig,exp11,170.0,170.0,0.023529411764705882,0.0058823529411764705,-1.1600615139024029,0.01764705882352941,exp11,0.08140237385461846
B_keyword_t96,exp11,170.0,170.0,0.4411764705882353,0.07647058823529412,0.31370090394892014,0.36470588235294116,exp11,0.053970732718937486
CF_K96k_x1,exp9,140.0,140.0,0.5285714285714286,0.12857142857142856,0.5491325866373697,0.4,exp9,0.005785589570740601
CF_W_ALL48_c0.717_G4,exp9,140.0,140.0,0.5428571428571428,0.1357142857142857,0.5953058935740756,0.40714285714285714,exp9,0.0052587275553809265
CF_W_ALL48_c1,exp9,139.0,140.0,0.5611510791366906,0.2642857142857143,1.134042028177294,0.2968653648509763,exp9,0.0007171350322559555
CF_W_B2_c1,exp9,139.0,140.0,0.5899280575539568,0.15714285714285714,0.060201820146076716,0.4327852004110997,exp9,0.012302668220899426
CF_W_B3_c1,exp9,140.0,140.0,0.1,0.007142857142857143,-0.04772396534060442,0.09285714285714286,exp9,0.013903530071807113
CF_W_B3_c1.5,exp9,140.0,140.0,0.2714285714285714,0.02857142857142857,0.5953058935740756,0.24285714285714283,exp9,0.0052587275553809265
CF_W_B4_c1.5,exp9,140.0,140.0,0.02857142857142857,0.0,0.5492718429599613,0.02857142857142857,exp9,0.005783972690164396
CF_W_C36_c0.787_G3,exp9,139.0,140.0,0.4748201438848921,0.15714285714285714,0.5492718429599609,0.31767728674203494,exp9,0.005783972690164396
CF_W_S2_c0.726_G2,exp9,139.0,140.0,0.2805755395683453,0.02857142857142857,0.060201820146076716,0.2520041109969167,exp9,0.012302668220899426
CF_W_S4_c0.943_G1,exp9,140.0,140.0,0.11428571428571428,0.007142857142857143,-0.04772396534060442,0.10714285714285714,exp9,0.013903530071807113
CF_noop,exp9,140.0,140.0,0.014285714285714285,0.007142857142857143,-2.4209931323936007,0.007142857142857143,exp9,0.03942531956566264
CORE_trial88,exp10,111.0,111.0,0.22522522522522523,0.1891891891891892,1.614126927305517,0.03603603603603603,exp10,-0.002692933551108556
C_corrected,exp11,170.0,170.0,0.29411764705882354,0.2,0.41389725192887344,0.09411764705882353,exp11,0.04933529587211272
D2_reselected_judge,exp11,170.0,170.0,0.2823529411764706,0.18823529411764706,-1.1600615139024029,0.09411764705882353,exp11,0.08140237385461846
D_reselected_clf,exp11,170.0,170.0,0.3411764705882353,0.25882352941176473,-1.1600615139024029,0.08235294117647057,exp11,0.08140237385461846
E1_ALL,exp10,111.0,111.0,0.10810810810810811,0.14414414414414414,-0.9991206320058372,-0.03603603603603603,exp10,0.12447080773512886
E1_B2,exp10,111.0,111.0,0.13513513513513514,0.13513513513513514,-0.9603618951028317,0.0,exp10,0.12416729667175119
E1_B3,exp10,111.0,111.0,0.14414414414414414,0.16216216216216217,-0.9650911543906867,-0.01801801801801803,exp10,0.12420776900315877
E1_PC_ALL,exp10,111.0,111.0,0.02702702702702703,0.0,-0.9953095831407857,0.02702702702702703,exp10,0.12444379313206932
E1_RND_ALL,exp10,111.0,111.0,0.02702702702702703,0.009009009009009009,-0.9959826910360643,0.01801801801801802,exp10,0.12444860900004207
E1_STR2,exp10,111.0,111.0,0.11711711711711711,0.05405405405405406,-0.9790453011487696,0.06306306306306306,exp10,0.12432159439379287
E1_STR4,exp10,111.0,111.0,0.036036036036036036,0.036036036036036036,-0.9691918713830492,0.0,exp10,0.12424208419598703
E2_ALL,exp10,111.0,111.0,0.2702702702702703,0.32432432432432434,-0.2627975455923486,-0.05405405405405406,exp10,0.10656156166910313
E2_B2,exp10,111.0,111.0,0.26126126126126126,0.3063063063063063,-0.2407648860471515,-0.04504504504504503,exp10,0.10560767609042143
E2_B3,exp10,111.0,111.0,0.13513513513513514,0.22522522522522523,-0.2415152292357418,-0.09009009009009009,exp10,0.10564056328446159
E2_PC_ALL,exp10,111.0,111.0,0.009009009009009009,0.009009009009009009,-0.258791268604498,0.0,exp10,0.10638993248498807
E2_RND_ALL,exp10,111.0,111.0,0.02702702702702703,0.02702702702702703,-0.2595117720236685,0.0,exp10,0.10642085862451622
E2_STR2,exp10,111.0,110.0,0.16216216216216217,0.15454545454545454,-0.24599633933274945,0.00761670761670763,exp10,0.10583637935578716
E2_STR4,exp10,111.0,111.0,0.09009009009009009,0.06306306306306306,-0.24689992416124706,0.02702702702702703,exp10,0.10587574202033845
E3_ALL,exp10,111.0,110.0,0.26126126126126126,0.4727272727272727,0.5093657805327498,-0.21146601146601146,exp10,0.060784987211037256
E3_B2,exp10,111.0,111.0,0.34234234234234234,0.40540540540540543,0.5109570383966932,-0.06306306306306309,exp10,0.06067214708788299
E3_B3,exp10,111.0,110.0,0.15315315315315314,0.3,0.5100512477679846,-0.14684684684684685,exp10,0.06073638274169918
E3_PC_ALL,exp10,111.0,105.0,0.009009009009009009,0.009523809523809525,0.5056826597735035,-0.0005148005148005157,exp10,0.06104604812086034
E3_RND_ALL,exp10,111.0,111.0,0.018018018018018018,0.009009009009009009,0.5063699974374248,0.009009009009009009,exp10,0.06099734208380486
E3_STR2,exp10,111.0,110.0,0.23423423423423423,0.3,0.5096514013254587,-0.06576576576576576,exp10,0.06076473537062521
E3_STR4,exp10,111.0,111.0,0.10810810810810811,0.11711711711711711,0.5094649314425024,-0.009009009009009,exp10,0.06077795706326261
F_dose1.5,exp11,170.0,170.0,0.3352941176470588,0.27058823529411763,0.6461211234534453,0.06470588235294117,exp11,0.037964688125734614
F_dose2.0,exp11,170.0,170.0,0.19411764705882353,0.13529411764705881,0.8844395587239806,0.05882352941176472,exp11,0.02616692646524188
F_dose3.0,exp11,170.0,170.0,0.09411764705882353,0.01764705882352941,1.22202570365199,0.07647058823529412,exp11,0.011412786498339045
GRID_ALL_c1.0,exp10,41.0,41.0,0.24390243902439024,0.36585365853658536,1.5900447474247577,-0.12195121951219512,exp10,-0.002062327766767902
GRID_B1_c1.0,exp10,41.0,41.0,0.0,0.0,0.4469869363453518,0.0,exp10,0.06518067051497023
