model,scorer,kl_source,selected_trial,branch,n_candidates,K,C,J,J_partial,J_is_posthoc_selection_point_label,KL_replay,KL_journal,direction_scope,sum_A1,sum_mass,sum_centroid,not_a_better_edit
gemma,K,KL_replay,107,fallback1: min refusals s.t. KL<=1.0,116,72,63,63.0,24.0,False,0.0105225332081317,0.011138510890305,per layer,42.79245351757868,42.79245351757868,34.409229949003546,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gemma,C,KL_replay,98,primary: min KL s.t. refusals<=10,116,82,9,16.0,58.0,False,0.0852436423301696,0.0806011855602264,global,30.7346115905598,75.32985757581405,29.37138723623884,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gemma,J,KL_replay,64,primary: min KL s.t. refusals<=10,116,76,9,10.0,55.0,False,0.2485462427139282,0.2486730068922042,per layer,62.56678011565822,62.56678011565822,30.92109625162821,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gemma,K_journal,KL_journal,96,fallback1: min refusals s.t. KL<=1.0,116,74,32,37.0,49.0,False,0.0263205282390117,0.0242503006011247,global,26.01157270471537,56.59027244809128,29.18240270055029,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gams,K,KL_replay,88,fallback1: min refusals s.t. KL<=1.0,116,16,0,1.0,4.0,True,0.17493541538715363,0.1749354153871536,global,30.94261838789682,100.69193705569272,27.00950933269877,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gams,C,KL_replay,85,primary: min KL s.t. refusals<=10,116,35,7,23.0,37.0,True,0.015458090230822563,0.0154580902308225,per layer,38.12510220514904,38.12510220514904,35.04119917823353,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gams,J (judged subset: 70 of 116 candidates),KL_replay,115,primary: min KL s.t. refusals<=10,70,30,1,2.0,8.0,False,0.059985172003507614,0.0599851720035076,global,29.353770414749828,97.88934969747316,26.48250726968504,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
gams,K_journal,KL_journal,88,fallback1: min refusals s.t. KL<=1.0,116,16,0,1.0,4.0,True,0.17493541538715363,0.1749354153871536,global,30.94261838789682,100.69193705569272,27.00950933269877,"NOT A BETTER EDIT (P7, iteration 3): at equal English refusal the 1.5x-scaled old edit has gap +.33 (difference -.05 [-.41,+.12]); at equal harmless KL the dose ladder reaches gap .00 (-.38 [-.47,-.29]); dose for dose the corrected edit is strictly worse. No row of this table is a recommendation."
